iso3c,country,region,income,year,population,overall_score,Pillar,Pillar_Score
CYP,Cyprus,Europe & Central Asia,High income,2015,1187280,,Data Use (Pillar 1),80.0
CZE,Czechia,Europe & Central Asia,High income,2015,10546059,,Data Use (Pillar 1),80.0
DNK,Denmark,Europe & Central Asia,High income,2015,5683483,,Data Use (Pillar 1),80.0
DJI,Djibouti,Middle East & North Africa,Lower middle income,2015,1006259,,Data Use (Pillar 1),20.0
DMA,Dominica,Latin America & Caribbean,Upper middle income,2015,70007,,Data Use (Pillar 1),40.0
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2015,10405832,,Data Use (Pillar 1),80.0
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2015,16195902,,Data Use (Pillar 1),80.0
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,2015,97723799,,Data Use (Pillar 1),80.0
SLV,El Salvador,Latin America & Caribbean,Upper middle income,2015,6231066,,Data Use (Pillar 1),70.0
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2015,1346973,,Data Use (Pillar 1),30.0
ERI,Eritrea,Sub-Saharan Africa,Low income,2015,3340006,,Data Use (Pillar 1),30.0
EST,Estonia,Europe & Central Asia,High income,2015,1315407,,Data Use (Pillar 1),80.0
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,2015,1133936,,Data Use (Pillar 1),40.0
ETH,Ethiopia,Sub-Saharan Africa,Low income,2015,102471895,,Data Use (Pillar 1),80.0
FRO,Faroe Islands,Europe & Central Asia,High income,2015,48816,,Data Use (Pillar 1),20.0
FJI,Fiji,East Asia & Pacific,Upper middle income,2015,917200,,Data Use (Pillar 1),70.0
FIN,Finland,Europe & Central Asia,High income,2015,5479531,,Data Use (Pillar 1),80.0
FRA,France,Europe & Central Asia,High income,2015,66548272,,Data Use (Pillar 1),80.0
PYF,French Polynesia,East Asia & Pacific,High income,2015,291787,,Data Use (Pillar 1),30.0
GAB,Gabon,Sub-Saharan Africa,Upper middle income,2015,2028517,,Data Use (Pillar 1),40.0
GMB,"Gambia, The",Sub-Saharan Africa,Low income,2015,2253133,,Data Use (Pillar 1),60.0
GEO,Georgia,Europe & Central Asia,Upper middle income,2015,3725276,,Data Use (Pillar 1),70.0
DEU,Germany,Europe & Central Asia,High income,2015,81686611,,Data Use (Pillar 1),80.0
GHA,Ghana,Sub-Saharan Africa,Lower middle income,2015,28870939,,Data Use (Pillar 1),70.0
GIB,Gibraltar,Europe & Central Asia,High income,2015,32520,,Data Use (Pillar 1),20.0
GRC,Greece,Europe & Central Asia,High income,2015,10820883,,Data Use (Pillar 1),80.0
GRL,Greenland,Europe & Central Asia,High income,2015,56114,,Data Use (Pillar 1),30.0
GRD,Grenada,Latin America & Caribbean,Upper middle income,2015,118980,,Data Use (Pillar 1),50.0
GUM,Guam,East Asia & Pacific,High income,2015,167978,,Data Use (Pillar 1),40.0
GTM,Guatemala,Latin America & Caribbean,Upper middle income,2015,15567419,,Data Use (Pillar 1),70.0
GIN,Guinea,Sub-Saharan Africa,Lower middle income,2015,11625998,,Data Use (Pillar 1),50.0
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,2015,1788919,,Data Use (Pillar 1),40.0
GUY,Guyana,Latin America & Caribbean,High income,2015,755031,,Data Use (Pillar 1),40.0
HTI,Haiti,Latin America & Caribbean,Lower middle income,2015,10563757,,Data Use (Pillar 1),70.0
HND,Honduras,Latin America & Caribbean,Lower middle income,2015,9294505,,Data Use (Pillar 1),70.0
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,2015,7291300,,Data Use (Pillar 1),40.0
HUN,Hungary,Europe & Central Asia,High income,2015,9843028,,Data Use (Pillar 1),80.0
ISL,Iceland,Europe & Central Asia,High income,2015,330815,,Data Use (Pillar 1),60.0
IND,India,South Asia,Lower middle income,2015,1322866505,,Data Use (Pillar 1),70.0
IDN,Indonesia,East Asia & Pacific,Upper middle income,2015,259091970,,Data Use (Pillar 1),80.0
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,2015,81790841,,Data Use (Pillar 1),80.0
IRQ,Iraq,Middle East & North Africa,Upper middle income,2015,37757813,,Data Use (Pillar 1),60.0
IRL,Ireland,Europe & Central Asia,High income,2015,4701957,,Data Use (Pillar 1),70.0
IMN,Isle of Man,Europe & Central Asia,High income,2015,83593,,Data Use (Pillar 1),30.0
ISR,Israel,Middle East & North Africa,High income,2015,8380100,,Data Use (Pillar 1),80.0
ITA,Italy,Europe & Central Asia,High income,2015,60730582,,Data Use (Pillar 1),80.0
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2015,2794445,,Data Use (Pillar 1),60.0
JPN,Japan,East Asia & Pacific,High income,2015,127141000,,Data Use (Pillar 1),80.0
JOR,Jordan,Middle East & North Africa,Lower middle income,2015,9494246,,Data Use (Pillar 1),70.0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2015,17542806,,Data Use (Pillar 1),80.0
KEN,Kenya,Sub-Saharan Africa,Lower middle income,2015,46851488,,Data Use (Pillar 1),50.0
KIR,Kiribati,East Asia & Pacific,Lower middle income,2015,116707,,Data Use (Pillar 1),50.0
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,2015,25258015,,Data Use (Pillar 1),20.0
KOR,"Korea, Rep.",East Asia & Pacific,High income,2015,51014947,,Data Use (Pillar 1),80.0
XKX,Kosovo,Europe & Central Asia,Upper middle income,2015,1788196,,Data Use (Pillar 1),40.0
KWT,Kuwait,Middle East & North Africa,High income,2015,3908743,,Data Use (Pillar 1),60.0
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,2015,5956900,,Data Use (Pillar 1),80.0
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2015,6787419,,Data Use (Pillar 1),50.0
LVA,Latvia,Europe & Central Asia,High income,2015,1977527,,Data Use (Pillar 1),80.0
LBN,Lebanon,Middle East & North Africa,Lower middle income,2015,6398940,,Data Use (Pillar 1),20.0
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2015,2118521,,Data Use (Pillar 1),60.0
LBR,Liberia,Sub-Saharan Africa,Low income,2015,4612329,,Data Use (Pillar 1),60.0
LBY,Libya,Middle East & North Africa,Upper middle income,2015,6192235,,Data Use (Pillar 1),40.0
LIE,Liechtenstein,Europe & Central Asia,High income,2015,37355,,Data Use (Pillar 1),30.0
LTU,Lithuania,Europe & Central Asia,High income,2015,2904910,,Data Use (Pillar 1),80.0
LUX,Luxembourg,Europe & Central Asia,High income,2015,569604,,Data Use (Pillar 1),60.0
MAC,"Macao SAR, China",East Asia & Pacific,High income,2015,615239,,Data Use (Pillar 1),40.0
MDG,Madagascar,Sub-Saharan Africa,Low income,2015,24850912,,Data Use (Pillar 1),80.0
MWI,Malawi,Sub-Saharan Africa,Low income,2015,16938942,,Data Use (Pillar 1),70.0
MYS,Malaysia,East Asia & Pacific,Upper middle income,2015,31068833,,Data Use (Pillar 1),80.0
MDV,Maldives,South Asia,Upper middle income,2015,435582,,Data Use (Pillar 1),40.0
MLI,Mali,Sub-Saharan Africa,Low income,2015,18112907,,Data Use (Pillar 1),60.0
MLT,Malta,Middle East & North Africa,High income,2015,445053,,Data Use (Pillar 1),80.0
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,2015,49410,,Data Use (Pillar 1),10.0
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,2015,3946220,,Data Use (Pillar 1),70.0
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,2015,1262879,,Data Use (Pillar 1),70.0
MEX,Mexico,Latin America & Caribbean,Upper middle income,2015,120149897,,Data Use (Pillar 1),80.0
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,2015,109462,,Data Use (Pillar 1),50.0
MDA,Moldova,Europe & Central Asia,Upper middle income,2015,2835978,,Data Use (Pillar 1),80.0
MCO,Monaco,Europe & Central Asia,High income,2015,36760,,Data Use (Pillar 1),40.0
MNG,Mongolia,East Asia & Pacific,Upper middle income,2015,2964749,,Data Use (Pillar 1),80.0
MNE,Montenegro,Europe & Central Asia,Upper middle income,2015,622159,,Data Use (Pillar 1),70.0
MAR,Morocco,Middle East & North Africa,Lower middle income,2015,34680458,,Data Use (Pillar 1),70.0
MOZ,Mozambique,Sub-Saharan Africa,Low income,2015,26843246,,Data Use (Pillar 1),60.0
MMR,Myanmar,East Asia & Pacific,Lower middle income,2015,51483949,,Data Use (Pillar 1),60.0
NAM,Namibia,Sub-Saharan Africa,Upper middle income,2015,2282704,,Data Use (Pillar 1),70.0
NRU,Nauru,East Asia & Pacific,High income,2015,11185,,Data Use (Pillar 1),50.0
NPL,Nepal,South Asia,Lower middle income,2015,27610325,,Data Use (Pillar 1),40.0
NLD,Netherlands,Europe & Central Asia,High income,2015,16939923,,Data Use (Pillar 1),80.0
NCL,New Caledonia,East Asia & Pacific,High income,2015,269460,,Data Use (Pillar 1),30.0
NZL,New Zealand,East Asia & Pacific,High income,2015,4609400,,Data Use (Pillar 1),80.0
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,2015,6298598,,Data Use (Pillar 1),70.0
NER,Niger,Sub-Saharan Africa,Low income,2015,20128124,,Data Use (Pillar 1),80.0
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,2015,183995785,,Data Use (Pillar 1),80.0
MKD,North Macedonia,Europe & Central Asia,Upper middle income,2015,1912430,,Data Use (Pillar 1),80.0
MNP,Northern Mariana Islands,East Asia & Pacific,High income,2015,51514,,Data Use (Pillar 1),30.0
NOR,Norway,Europe & Central Asia,High income,2015,5188607,,Data Use (Pillar 1),80.0
OMN,Oman,Middle East & North Africa,High income,2015,4191776,,Data Use (Pillar 1),50.0
PAK,Pakistan,South Asia,Lower middle income,2015,210969298,,Data Use (Pillar 1),80.0
PLW,Palau,East Asia & Pacific,High income,2015,17794,,Data Use (Pillar 1),20.0
PAN,Panama,Latin America & Caribbean,High income,2015,3957099,,Data Use (Pillar 1),80.0
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,2015,8682174,,Data Use (Pillar 1),40.0
PRY,Paraguay,Latin America & Caribbean,Upper middle income,2015,6177950,,Data Use (Pillar 1),70.0
PER,Peru,Latin America & Caribbean,Upper middle income,2015,30711863,,Data Use (Pillar 1),70.0
PHL,Philippines,East Asia & Pacific,Lower middle income,2015,103031365,,Data Use (Pillar 1),80.0
POL,Poland,Europe & Central Asia,High income,2015,37986412,,Data Use (Pillar 1),80.0
PRT,Portugal,Europe & Central Asia,High income,2015,10358076,,Data Use (Pillar 1),80.0
PRI,Puerto Rico,Latin America & Caribbean,High income,2015,3473232,,Data Use (Pillar 1),40.0
QAT,Qatar,Middle East & North Africa,High income,2015,2414573,,Data Use (Pillar 1),60.0
ROU,Romania,Europe & Central Asia,High income,2015,19815616,,Data Use (Pillar 1),80.0
RUS,Russian Federation,Europe & Central Asia,High income,2015,144640716,,Data Use (Pillar 1),80.0
RWA,Rwanda,Sub-Saharan Africa,Low income,2015,11642959,,Data Use (Pillar 1),60.0
WSM,Samoa,East Asia & Pacific,Lower middle income,2015,203571,,Data Use (Pillar 1),70.0
SMR,San Marino,Europe & Central Asia,High income,2015,33570,,Data Use (Pillar 1),30.0
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,2015,201124,,Data Use (Pillar 1),40.0
SAU,Saudi Arabia,Middle East & North Africa,High income,2015,32749848,,Data Use (Pillar 1),40.0
SEN,Senegal,Sub-Saharan Africa,Lower middle income,2015,14356181,,Data Use (Pillar 1),70.0
SRB,Serbia,Europe & Central Asia,Upper middle income,2015,7095383,,Data Use (Pillar 1),80.0
SYC,Seychelles,Sub-Saharan Africa,High income,2015,93419,,Data Use (Pillar 1),60.0
SLE,Sierra Leone,Sub-Saharan Africa,Low income,2015,7314773,,Data Use (Pillar 1),70.0
SGP,Singapore,East Asia & Pacific,High income,2015,5535002,,Data Use (Pillar 1),80.0
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,2015,38825,,Data Use (Pillar 1),10.0
SVK,Slovak Republic,Europe & Central Asia,High income,2015,5423801,,Data Use (Pillar 1),70.0
SVN,Slovenia,Europe & Central Asia,High income,2015,2063531,,Data Use (Pillar 1),80.0
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,2015,612660,,Data Use (Pillar 1),50.0
SOM,Somalia,Sub-Saharan Africa,Low income,2015,13763906,,Data Use (Pillar 1),10.0
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,2015,55876504,,Data Use (Pillar 1),80.0
SSD,South Sudan,Sub-Saharan Africa,Low income,2015,11194299,,Data Use (Pillar 1),20.0
ESP,Spain,Europe & Central Asia,High income,2015,46444832,,Data Use (Pillar 1),80.0
LKA,Sri Lanka,South Asia,Lower middle income,2015,21336697,,Data Use (Pillar 1),70.0
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,2015,47790,,Data Use (Pillar 1),20.0
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,2015,175623,,Data Use (Pillar 1),80.0
MAF,St. Martin (French part),Latin America & Caribbean,High income,2015,35020,,Data Use (Pillar 1),20.0
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,2015,106482,,Data Use (Pillar 1),20.0
SDN,Sudan,Sub-Saharan Africa,Low income,2015,38171178,,Data Use (Pillar 1),60.0
SUR,Suriname,Latin America & Caribbean,Upper middle income,2015,575475,,Data Use (Pillar 1),40.0
SWE,Sweden,Europe & Central Asia,High income,2015,9799186,,Data Use (Pillar 1),80.0
CHE,Switzerland,Europe & Central Asia,High income,2015,8282396,,Data Use (Pillar 1),80.0
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,2015,19205178,,Data Use (Pillar 1),30.0
TJK,Tajikistan,Europe & Central Asia,Lower middle income,2015,8524063,,Data Use (Pillar 1),50.0
TZA,Tanzania,Sub-Saharan Africa,Lower middle income,2015,52542823,,Data Use (Pillar 1),70.0
THA,Thailand,East Asia & Pacific,Upper middle income,2015,70294397,,Data Use (Pillar 1),80.0
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,2015,1205813,,Data Use (Pillar 1),70.0
TGO,Togo,Sub-Saharan Africa,Low income,2015,7473229,,Data Use (Pillar 1),60.0
TON,Tonga,East Asia & Pacific,Upper middle income,2015,106122,,Data Use (Pillar 1),50.0
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,2015,1460177,,Data Use (Pillar 1),40.0
TUN,Tunisia,Middle East & North Africa,Lower middle income,2015,11557779,,Data Use (Pillar 1),80.0
TUR,Turkiye,Europe & Central Asia,Upper middle income,2015,78218479,,Data Use (Pillar 1),80.0
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,2015,5766431,,Data Use (Pillar 1),40.0
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,2015,36538,,Data Use (Pillar 1),10.0
TUV,Tuvalu,East Asia & Pacific,Upper middle income,2015,10877,,Data Use (Pillar 1),30.0
UGA,Uganda,Sub-Saharan Africa,Low income,2015,37477356,,Data Use (Pillar 1),60.0
UKR,Ukraine,Europe & Central Asia,Upper middle income,2015,45167350,,Data Use (Pillar 1),80.0
ARE,United Arab Emirates,Middle East & North Africa,High income,2015,8916899,,Data Use (Pillar 1),40.0
GBR,United Kingdom,Europe & Central Asia,High income,2015,65116219,,Data Use (Pillar 1),80.0
USA,United States,North America,High income,2015,320738994,,Data Use (Pillar 1),80.0
URY,Uruguay,Latin America & Caribbean,High income,2015,3402818,,Data Use (Pillar 1),80.0
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2015,31298900,,Data Use (Pillar 1),20.0
VUT,Vanuatu,East Asia & Pacific,Lower middle income,2015,276438,,Data Use (Pillar 1),50.0
VEN,"Venezuela, RB",Latin America & Caribbean,Not classified,2015,30529716,,Data Use (Pillar 1),60.0
VNM,Viet Nam,East Asia & Pacific,Lower middle income,2015,92191398,,Data Use (Pillar 1),80.0
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,2015,107712,,Data Use (Pillar 1),20.0
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,2015,4270092,,Data Use (Pillar 1),80.0
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,2015,28516545,,Data Use (Pillar 1),70.0
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,2015,16248230,,Data Use (Pillar 1),70.0
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,2015,14154937,,Data Use (Pillar 1),50.0
AFG,Afghanistan,South Asia,Low income,2014,32716210,,Data Use (Pillar 1),30.0
ALB,Albania,Europe & Central Asia,Upper middle income,2014,2889104,,Data Use (Pillar 1),50.0
DZA,Algeria,Middle East & North Africa,Upper middle income,2014,38760168,,Data Use (Pillar 1),40.0
ASM,American Samoa,East Asia & Pacific,High income,2014,52217,,Data Use (Pillar 1),10.0
AND,Andorra,Europe & Central Asia,High income,2014,71621,,Data Use (Pillar 1),0.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,2014,27128337,,Data Use (Pillar 1),40.0
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2014,89236,,Data Use (Pillar 1),0.0
ARG,Argentina,Latin America & Caribbean,Upper middle income,2014,42669500,,Data Use (Pillar 1),60.0
ARM,Armenia,Europe & Central Asia,Upper middle income,2014,2889930,,Data Use (Pillar 1),60.0
ABW,Aruba,Latin America & Caribbean,High income,2014,103594,,Data Use (Pillar 1),20.0
AUS,Australia,East Asia & Pacific,High income,2014,23475686,,Data Use (Pillar 1),60.0
AUT,Austria,Europe & Central Asia,High income,2014,8546356,,Data Use (Pillar 1),60.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2014,9535079,,Data Use (Pillar 1),40.0
BHS,"Bahamas, The",Latin America & Caribbean,High income,2014,389131,,Data Use (Pillar 1),40.0
BHR,Bahrain,Middle East & North Africa,High income,2014,1311134,,Data Use (Pillar 1),30.0
BGD,Bangladesh,South Asia,Lower middle income,2014,155961299,,Data Use (Pillar 1),50.0
BRB,Barbados,Latin America & Caribbean,High income,2014,277493,,Data Use (Pillar 1),40.0
BLR,Belarus,Europe & Central Asia,Upper middle income,2014,9448515,,Data Use (Pillar 1),50.0
BEL,Belgium,Europe & Central Asia,High income,2014,11209057,,Data Use (Pillar 1),60.0
BLZ,Belize,Latin America & Caribbean,Upper middle income,2014,352335,,Data Use (Pillar 1),40.0
BEN,Benin,Sub-Saharan Africa,Lower middle income,2014,10614844,,Data Use (Pillar 1),30.0
BMU,Bermuda,North America,High income,2014,65138,,Data Use (Pillar 1),20.0
BTN,Bhutan,South Asia,Lower middle income,2014,736357,,Data Use (Pillar 1),50.0
BOL,Bolivia,Latin America & Caribbean,Lower middle income,2014,10916987,,Data Use (Pillar 1),50.0
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2014,3571068,,Data Use (Pillar 1),50.0
BWA,Botswana,Sub-Saharan Africa,Upper middle income,2014,2260376,,Data Use (Pillar 1),40.0
BRA,Brazil,Latin America & Caribbean,Upper middle income,2014,203459650,,Data Use (Pillar 1),50.0
VGB,British Virgin Islands,Latin America & Caribbean,High income,2014,28971,,Data Use (Pillar 1),0.0
BRN,Brunei Darussalam,East Asia & Pacific,High income,2014,416656,,Data Use (Pillar 1),40.0
BGR,Bulgaria,Europe & Central Asia,High income,2014,7223938,,Data Use (Pillar 1),60.0
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2014,18169842,,Data Use (Pillar 1),30.0
BDI,Burundi,Sub-Saharan Africa,Low income,2014,10494913,,Data Use (Pillar 1),40.0
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,2014,546076,,Data Use (Pillar 1),40.0
KHM,Cambodia,East Asia & Pacific,Lower middle income,2014,15210817,,Data Use (Pillar 1),30.0
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,2014,22299585,,Data Use (Pillar 1),40.0
CAN,Canada,North America,High income,2014,35434066,,Data Use (Pillar 1),60.0
CYM,Cayman Islands,Latin America & Caribbean,High income,2014,59559,,Data Use (Pillar 1),20.0
CAF,Central African Republic,Sub-Saharan Africa,Low income,2014,4798734,,Data Use (Pillar 1),0.0
TCD,Chad,Sub-Saharan Africa,Low income,2014,13697126,,Data Use (Pillar 1),30.0
CHI,Channel Islands,Europe & Central Asia,High income,2014,160912,,Data Use (Pillar 1),0.0
CHL,Chile,Latin America & Caribbean,High income,2014,17687108,,Data Use (Pillar 1),60.0
CHN,China,East Asia & Pacific,Upper middle income,2014,1371860000,,Data Use (Pillar 1),50.0
COL,Colombia,Latin America & Caribbean,Upper middle income,2014,46677947,,Data Use (Pillar 1),60.0
COM,Comoros,Sub-Saharan Africa,Lower middle income,2014,714612,,Data Use (Pillar 1),40.0
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,2014,76035588,,Data Use (Pillar 1),50.0
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,2014,4944861,,Data Use (Pillar 1),50.0
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,2014,4844288,,Data Use (Pillar 1),60.0
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,2014,22995555,,Data Use (Pillar 1),30.0
HRV,Croatia,Europe & Central Asia,High income,2014,4238389,,Data Use (Pillar 1),60.0
CUB,Cuba,Latin America & Caribbean,Upper middle income,2014,11332026,,Data Use (Pillar 1),40.0
CUW,Curacao,Latin America & Caribbean,High income,2014,155909,,Data Use (Pillar 1),20.0
CYP,Cyprus,Europe & Central Asia,High income,2014,1176995,,Data Use (Pillar 1),60.0
CZE,Czechia,Europe & Central Asia,High income,2014,10525347,,Data Use (Pillar 1),60.0
DNK,Denmark,Europe & Central Asia,High income,2014,5643475,,Data Use (Pillar 1),60.0
DJI,Djibouti,Middle East & North Africa,Lower middle income,2014,989087,,Data Use (Pillar 1),0.0
DMA,Dominica,Latin America & Caribbean,Upper middle income,2014,69371,,Data Use (Pillar 1),20.0
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2014,10282115,,Data Use (Pillar 1),60.0
ECU,Ecuador,Latin America & Caribbean,Upper middle income,2014,15957994,,Data Use (Pillar 1),60.0
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,2014,95592324,,Data Use (Pillar 1),60.0
SLV,El Salvador,Latin America & Caribbean,Upper middle income,2014,6209526,,Data Use (Pillar 1),50.0
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2014,1295183,,Data Use (Pillar 1),20.0
ERI,Eritrea,Sub-Saharan Africa,Low income,2014,3323425,,Data Use (Pillar 1),20.0
EST,Estonia,Europe & Central Asia,High income,2014,1314545,,Data Use (Pillar 1),60.0
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,2014,1125865,,Data Use (Pillar 1),20.0
ETH,Ethiopia,Sub-Saharan Africa,Low income,2014,99746766,,Data Use (Pillar 1),50.0
FRO,Faroe Islands,Europe & Central Asia,High income,2014,48465,,Data Use (Pillar 1),0.0
FJI,Fiji,East Asia & Pacific,Upper middle income,2014,915560,,Data Use (Pillar 1),50.0
FIN,Finland,Europe & Central Asia,High income,2014,5461512,,Data Use (Pillar 1),60.0
FRA,France,Europe & Central Asia,High income,2014,66312067,,Data Use (Pillar 1),60.0
PYF,French Polynesia,East Asia & Pacific,High income,2014,289873,,Data Use (Pillar 1),10.0
GAB,Gabon,Sub-Saharan Africa,Upper middle income,2014,1966855,,Data Use (Pillar 1),40.0
GMB,"Gambia, The",Sub-Saharan Africa,Low income,2014,2189019,,Data Use (Pillar 1),40.0
GEO,Georgia,Europe & Central Asia,Upper middle income,2014,3719414,,Data Use (Pillar 1),50.0
DEU,Germany,Europe & Central Asia,High income,2014,80982500,,Data Use (Pillar 1),60.0
GHA,Ghana,Sub-Saharan Africa,Lower middle income,2014,28196358,,Data Use (Pillar 1),40.0
GIB,Gibraltar,Europe & Central Asia,High income,2014,32452,,Data Use (Pillar 1),0.0
GRC,Greece,Europe & Central Asia,High income,2014,10892413,,Data Use (Pillar 1),60.0
GRL,Greenland,Europe & Central Asia,High income,2014,56295,,Data Use (Pillar 1),10.0
GRD,Grenada,Latin America & Caribbean,Upper middle income,2014,117972,,Data Use (Pillar 1),40.0
GUM,Guam,East Asia & Pacific,High income,2014,167543,,Data Use (Pillar 1),20.0
GTM,Guatemala,Latin America & Caribbean,Upper middle income,2014,15306316,,Data Use (Pillar 1),50.0
GIN,Guinea,Sub-Saharan Africa,Lower middle income,2014,11333365,,Data Use (Pillar 1),30.0
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,2014,1743309,,Data Use (Pillar 1),20.0
GUY,Guyana,Latin America & Caribbean,High income,2014,751115,,Data Use (Pillar 1),20.0
HTI,Haiti,Latin America & Caribbean,Lower middle income,2014,10412740,,Data Use (Pillar 1),50.0
HND,Honduras,Latin America & Caribbean,Lower middle income,2014,9127846,,Data Use (Pillar 1),50.0
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,2014,7229500,,Data Use (Pillar 1),20.0
HUN,Hungary,Europe & Central Asia,High income,2014,9866468,,Data Use (Pillar 1),60.0
ISL,Iceland,Europe & Central Asia,High income,2014,327386,,Data Use (Pillar 1),40.0
IND,India,South Asia,Lower middle income,2014,1307246509,,Data Use (Pillar 1),50.0
IDN,Indonesia,East Asia & Pacific,Upper middle income,2014,256229761,,Data Use (Pillar 1),60.0
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,2014,79961672,,Data Use (Pillar 1),60.0
IRQ,Iraq,Middle East & North Africa,Upper middle income,2014,36746488,,Data Use (Pillar 1),40.0
IRL,Ireland,Europe & Central Asia,High income,2014,4657740,,Data Use (Pillar 1),60.0
IMN,Isle of Man,Europe & Central Asia,High income,2014,83896,,Data Use (Pillar 1),10.0
ISR,Israel,Middle East & North Africa,High income,2014,8215700,,Data Use (Pillar 1),60.0
ITA,Italy,Europe & Central Asia,High income,2014,60789140,,Data Use (Pillar 1),60.0
JAM,Jamaica,Latin America & Caribbean,Upper middle income,2014,2784543,,Data Use (Pillar 1),40.0
JPN,Japan,East Asia & Pacific,High income,2014,127276000,,Data Use (Pillar 1),60.0
JOR,Jordan,Middle East & North Africa,Lower middle income,2014,8658026,,Data Use (Pillar 1),50.0
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,2014,17288285,,Data Use (Pillar 1),60.0
KEN,Kenya,Sub-Saharan Africa,Lower middle income,2014,45831863,,Data Use (Pillar 1),30.0
KIR,Kiribati,East Asia & Pacific,Lower middle income,2014,114985,,Data Use (Pillar 1),30.0
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,2014,25126131,,Data Use (Pillar 1),0.0
KOR,"Korea, Rep.",East Asia & Pacific,High income,2014,50746659,,Data Use (Pillar 1),60.0
XKX,Kosovo,Europe & Central Asia,Upper middle income,2014,1812771,,Data Use (Pillar 1),20.0
KWT,Kuwait,Middle East & North Africa,High income,2014,3761584,,Data Use (Pillar 1),20.0
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,2014,5835500,,Data Use (Pillar 1),60.0
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2014,6691454,,Data Use (Pillar 1),40.0
LVA,Latvia,Europe & Central Asia,High income,2014,1993782,,Data Use (Pillar 1),60.0
LBN,Lebanon,Middle East & North Africa,Lower middle income,2014,6274342,,Data Use (Pillar 1),30.0
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,2014,2095242,,Data Use (Pillar 1),40.0
LBR,Liberia,Sub-Saharan Africa,Low income,2014,4519398,,Data Use (Pillar 1),40.0
LBY,Libya,Middle East & North Africa,Upper middle income,2014,6097764,,Data Use (Pillar 1),40.0
LIE,Liechtenstein,Europe & Central Asia,High income,2014,37096,,Data Use (Pillar 1),10.0
